Item 1,Item 2,Result,Result Description
Ability Distiller,Ability Distiller,Mighty G,"Bestows Protect, Shell, and Haste on all party members."
Ability Distiller,Mana Tonic,Hyper Mana,Doubles max MP and casts Focus on all party members.
Ability Distiller,Map,Pineapple,Deals medium amounts of damage to all enemies.
Ability Distiller,Master Sphere,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Ability Distiller,Megalixir,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Mega Phoenix,Final Phoenix,Restores full HP and revives all KO'd party members with full HP.
Ability Distiller,Mega Potion,Ultra Potion,Full HP recovery for all party members.
Ability Distiller,MP Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Musk,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Ability Distiller,Pendulum,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Petrify Grenade,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Ability Distiller,Phoenix Down,Mega Phoenix,Revives all KO'd party members with full HP.
Ability Distiller,Poison Fang,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Ability Distiller,Potion,Ultra Potion,Full HP recovery for all party members.
Ability Distiller,Power Distiller,Mighty G,"Bestows Protect, Shell, and Haste on all party members."
Ability Distiller,Power Sphere,Mighty Wall,Bestows Protect and Shell on all party members.
Ability Distiller,Purifying Salt,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Ability Distiller,Remedy,Panacea,Cures abnormal status effects for all party members.
Ability Distiller,Rename Card,Pineapple,Deals medium amounts of damage to all enemies.
Ability Distiller,Return Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Shadow Gem,Nega Burst,Reduces enemies' HP by three-quarters of their current HP.
Ability Distiller,Shining Gem,Megalixir,Full HP and MP recovery for all party members.
Ability Distiller,Shining Thorn,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Ability Distiller,Silence Grenade,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Ability Distiller,Silver Hourglass,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Ability Distiller,Skill Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Sleeping Powder,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Ability Distiller,Smoke Bomb,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Ability Distiller,Soft,Panacea,Cures abnormal status effects for all party members.
Ability Distiller,Soul Spring,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Ability Distiller,Special Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Speed Sphere,Mighty Wall,Bestows Protect and Shell on all party members.
Ability Distiller,Stamina Spring,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Ability Distiller,Stamina Tablet,Mega Vitality,Doubles max HP of all party members.
Ability Distiller,Stamina Tonic,Hyper Vitality,Doubles max HP and bestows Cheer x5 on all party members.
Ability Distiller,Star Curtain,Mighty Wall,Bestows Protect and Shell on all party members.
Ability Distiller,Strength Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Supreme Gem,Megalixir,Full HP and MP recovery for all party members.
Ability Distiller,Teleport Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Tetra Elemental,Megalixir,Full HP and MP recovery for all party members.
Ability Distiller,Three Stars,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Ability Distiller,Turbo Ether,Mega Mana,Doubles max MP of all party members.
Ability Distiller,Twin Stars,Freedom X,No MP Cost for all party members.
Ability Distiller,Underdog's Secret,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Warp Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Water Gem,Flash Flood,Deals medium amounts of damage in six bursts to all enemies.
Ability Distiller,White Magic Sphere,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Wings to Discovery,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,Winning Formula,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Distiller,X-Potion,Ultra Potion,Full HP recovery for all party members.
Ability Sphere,Ability Distiller,Mighty Wall,Bestows Protect and Shell on all party members.
Ability Sphere,Ability Sphere,Frag Grenade,Deals small amounts of damage and inflicts Armor Break to all enemies.
Ability Sphere,Accuracy Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Agility Distiller,Mighty Wall,Bestows Protect and Shell on all party members.
Ability Sphere,Agility Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Al Bhed Potion,Megalixir,Full HP and MP recovery for all party members.
Ability Sphere,Amulet,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Antarctic Wind,Snow Flurry,Deals small amounts of damage in five bursts to all enemies.
Ability Sphere,Antidote,Elixir,Full HP and MP recovery for one party member.
Ability Sphere,Arctic Wind,Snow Flurry,Deals small amounts of damage in five bursts to all enemies.
Ability Sphere,Attribute Sphere,Pineapple,Deals medium amounts of damage to all enemies.
Ability Sphere,Black Magic Sphere,Pineapple,Deals medium amounts of damage to all enemies.
Ability Sphere,Blessed Gem,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Ability Sphere,Bomb Core,Heat Blaster,Deals small amounts of damage in five bursts to all enemies.
Ability Sphere,Bomb Fragment,Heat Blaster,Deals small amounts of damage in five bursts to all enemies.
Ability Sphere,Candle of Life,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Chocobo Feather,Mighty Wall,Bestows Protect and Shell on all party members.
Ability Sphere,Chocobo Wing,Mighty Wall,Bestows Protect and Shell on all party members.
Ability Sphere,Clear Sphere,Potato Masher,Deals large amounts of damage to all enemies.
Ability Sphere,Dark Matter,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Ability Sphere,Defense Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Designer Wallet,Miracle Drink,High critical hit rate for all party members.
Ability Sphere,Door to Tomorrow,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Dragon Scale,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Ability Sphere,Dream Powder,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Echo Screen,Elixir,Full HP and MP recovery for one party member.
Ability Sphere,Electro Marble,Thunderbolt,Deals small amounts of damage in five bursts to all enemies.
Ability Sphere,Elixir,Megalixir,Full HP and MP recovery for all party members.
Ability Sphere,Ether,Mana,Doubles max MP of one party member.
Ability Sphere,Evasion Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Eye Drops,Elixir,Full HP and MP recovery for one party member.
Ability Sphere,Farplane Shadow,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Ability Sphere,Farplane Wind,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Ability Sphere,Fire Gem,Firestorm,Deals medium amounts of damage in six bursts to all enemies.
Ability Sphere,Fish Scale,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Ability Sphere,Fortune Sphere,Hero Drink,High critical hit rate for one party member.
Ability Sphere,Frag Grenade,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Ability Sphere,Friend Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Gambler's Spirit,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Gold Hourglass,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Grenade,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Healing Spring,Megalixir,Full HP and MP recovery for all party members.
Ability Sphere,Healing Water,Megalixir,Full HP and MP recovery for all party members.
Ability Sphere,Hi-Potion,Ultra Potion,Full HP recovery for all party members.
Ability Sphere,Holy Water,Megalixir,Full HP and MP recovery for all party members.
Ability Sphere,HP Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Hypello Potion,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Ice Gem,Icefall,Deals medium amounts of damage in six bursts to all enemies.
Ability Sphere,Lv. 1 Key Sphere,Pineapple,Deals medium amounts of damage to all enemies.
Ability Sphere,Lv. 2 Key Sphere,Potato Masher,Deals large amounts of damage to all enemies.
Ability Sphere,Lv. 3 Key Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Lv. 4 Key Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Light Curtain,Mighty Wall,Bestows Protect and Shell on all party members.
Ability Sphere,Lightning Gem,Rolling Thunder,Deals medium amounts of damage in six bursts to all enemies.
Ability Sphere,Lightning Marble,Thunderbolt,Deals small amounts of damage in five bursts to all enemies.
Ability Sphere,Luck Sphere,Hero Drink,High critical hit rate for one party member.
Ability Sphere,Lunar Curtain,Mighty Wall,Bestows Protect and Shell on all party members.
Ability Sphere,Magic Defense Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Magic Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Mana Distiller,Mighty Wall,Bestows Protect and Shell on all party members.
Ability Sphere,Mana Sphere,Frag Grenade,Deals small amounts of damage and inflicts Armor Break to all enemies.
Ability Sphere,Mana Spring,Megalixir,Full HP and MP recovery for all party members.
Ability Sphere,Mana Tablet,Hyper Mana,Doubles max MP and casts Focus on all party members.
Ability Sphere,Mana Tonic,Hyper Mana,Doubles max MP and casts Focus on all party members.
Ability Sphere,Map,Pineapple,Deals medium amounts of damage to all enemies.
Ability Sphere,Master Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Megalixir,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Ability Sphere,Mega Phoenix,Final Phoenix,Restores full HP and revives all KO'd party members with full HP.
Ability Sphere,Mega Potion,Ultra Potion,Full HP recovery for all party members.
Ability Sphere,MP Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Musk,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Pendulum,Cluster Bomb,Deals large amounts of damage to all enemies.
Ability Sphere,Petrify Grenade,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Ability Sphere,Phoenix Down,Mega Phoenix,Revives all KO'd party members with full HP.
